Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date,Host_Country,Innings_Team1,Innings_Team2
,,,,,,,Sri Lanka,Second,First
,,,,,,,Canada,Second,First
,,,,,,,Canada,First,Second
,,,,,,,Canada,Second,First
,,,,,,,Canada,First,Second
,,,,,,,Canada,Second,First
,,,,,,,India,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,Australia,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Bangladesh,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,India,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,India,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,India,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,India,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,India,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,India,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,India,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,,First,Second
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,England,Second,First
,,,,,,,India,First,Second
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,Canada,First,Second
,,,,,,,Canada,First,Second
,,,,,,,Canada,First,Second
,,,,,,,Canada,First,Second
,,,,,,,Canada,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,Australia,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,Australia,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,Australia,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,India,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,India,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,India,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,India,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,India,Second,First
,,,,,,,,Second,First
,,,,,,,India,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,England,First,Second
,,,,,,,,Second,First
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,Ireland,Second,First
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,Scotland,First,Second
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,Netherlands,Second,First
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,Scotland,Second,First
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,,First,Second
,,,,,,,,Second,First
,,,,,,,,First,Second
,,,,,,,,Second,First
,,,,,,,Canada,First,Second
,,,,,,,Canada,First,Second
,,,,,,,Canada,Second,First
,,,,,,,Canada,Second,First
,,,,,,,Canada,Second,First
,,,,,,,Canada,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,Australia,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,Australia,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,Australia,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,Australia,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,Second,First
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,England,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,England,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,England,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,England,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,,First,Second
,,,,,,,,Second,First
,,,,,,,,Second,First
,,,,,,,,First,Second
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,Pakistan,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,Australia,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,India,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,Zimbabwe,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,England,First,Second
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,Zimbabwe,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,Bangladesh,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,India,Second,First
,,,,,,,Australia,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,Australia,First,Second
,,,,,,,India,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,Second,First
,,,,,,,India,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,First,Second
,,,,,,,India,First,Second
,,,,,,,Australia,First,Second
,,,,,,,India,First,Second
,,,,,,,Australia,First,Second
,,,,,,,Australia,Second,First
,,,,,,,India,First,Second
,,,,,,,Australia,Second,First
,,,,,,,Australia,Second,First
,,,,,,,New Zealand,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,New Zealand,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,New Zealand,First,Second
,,,,,,,India,Second,First
,,,,,,,,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,South Africa,Second,First
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,First,Second
,,,,,,,U.A.E.,Second,First
,,,,,,,U.A.E.,Second,First
,,,,,,,Pakistan,Second,First
,,,,,,,Pakistan,First,Second
,,,,,,,Pakistan,Second,First
,,,,,,,West Indies,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,Australia,First,Second
,,,,,,,West Indies,First,Second
,,,,,,,Australia,Second,First
,,,,,,,West Indies,First,Second
,,,,,,,Australia,First,Second
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,First,Second
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,England,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,,First,Second
,,,,,,,,Second,First
,,,,,,,,First,Second
,,,,,,,,First,Second
,,,,,,,,First,Second
,,,,,,,,Second,First
,,,,,,,,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,Second,First
,,,,,,,Kenya,First,Second
,,,,,,,Kenya,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,Sri Lanka,Second,First
,,,,,,,Sri Lanka,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,India,Second,First
,,,,,,,India,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,India,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,Zimbabwe,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,Zimbabwe,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,Bangladesh,First,Second
,,,,,,,Bangladesh,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,First,Second
,,,,,,,South Africa,Second,First
,,,,,,,Zimbabwe,Second,First
,,,,,,,South Africa,First,Second
